slug,task,score,correct,total,parse_failures,ci_low,ci_high
gemma-4-12b-it-q6-k,mmlu,78.86,5528,7010,5,77.89,79.8
gemma-4-12b-it-q6-k,arc_challenge,94.03,1102,1172,1,92.52,95.25
gemma-4-12b-it-q6-k,hellaswag,81.62,4098,5021,0,80.52,82.66
gemma-4-12b-it-q6-k,humaneval,87.2,143,164,,81.22,91.47
gemma-4-12b-it-q6-k,gsm8k,96.36,1271,1319,0,95.21,97.24
gemma-4-12b-it-q6-k,q_avg,87.61,12142,14686,,86.5,88.73
gemma-4-31b-it-q6-k,mmlu,87.82,6156,7010,3,87.03,88.56
gemma-4-31b-it-q6-k,arc_challenge,97.61,1144,1172,0,96.57,98.34
gemma-4-31b-it-q6-k,hellaswag,91.95,4617,5021,0,91.17,92.67
gemma-4-31b-it-q6-k,humaneval,96.95,159,164,,93.06,98.69
gemma-4-31b-it-q6-k,gsm8k,97.5,1286,1319,0,96.51,98.21
gemma-4-31b-it-q6-k,q_avg,94.37,13362,14686,,93.75,94.98
gemma-4-31b-q4-0-it,mmlu,87.25,6116,7010,5,86.45,88.01
gemma-4-31b-q4-0-it,arc_challenge,97.61,1144,1172,0,96.57,98.34
gemma-4-31b-q4-0-it,hellaswag,91.6,4599,5021,0,90.8,92.33
gemma-4-31b-q4-0-it,humaneval,97.56,160,164,,93.9,99.05
gemma-4-31b-q4-0-it,gsm8k,97.27,1283,1319,0,96.24,98.02
gemma-4-31b-q4-0-it,q_avg,94.26,13302,14686,,93.68,94.83
google-gemma-4-31b-it-q4-0,mmlu,87.46,6131,7010,5,86.66,88.22
google-gemma-4-31b-it-q4-0,arc_challenge,97.18,1139,1172,0,96.07,97.99
google-gemma-4-31b-it-q4-0,hellaswag,90.94,4566,5021,0,90.11,91.7
google-gemma-4-31b-it-q4-0,humaneval,97.56,160,164,,93.9,99.05
google-gemma-4-31b-it-q4-0,gsm8k,97.19,1282,1319,0,96.16,97.96
google-gemma-4-31b-it-q4-0,q_avg,94.07,13278,14686,,93.48,94.65
gpt-oss-120b-mxfp4,mmlu,89.47,102,114,0,82.5,93.88
gpt-oss-120b-mxfp4,arc_challenge,95.0,95,100,0,88.82,97.85
gpt-oss-120b-mxfp4,hellaswag,80.0,80,100,0,71.12,86.66
gpt-oss-120b-mxfp4,humaneval,98.0,98,100,,93.0,99.45
gpt-oss-120b-mxfp4,gsm8k,97.0,97,100,0,91.55,98.97
gpt-oss-120b-mxfp4,q_avg,91.89,472,514,,89.61,94.18
gpt-oss-20b-q4-k-m,mmlu,78.56,11031,14042,653,77.87,79.23
gpt-oss-20b-q4-k-m,arc_challenge,94.62,1109,1172,5,93.18,95.78
gpt-oss-20b-q4-k-m,hellaswag,74.49,7480,10042,37,73.63,75.33
gpt-oss-20b-q4-k-m,humaneval,94.51,155,164,,89.9,97.09
gpt-oss-20b-q4-k-m,gsm8k,94.77,1250,1319,0,93.43,95.85
gpt-oss-20b-q4-k-m,q_avg,87.39,21025,26739,,86.58,88.2
ling-3-0-flash-iq2-m,mmlu,82.27,5767,7010,0,81.36,83.14
ling-3-0-flash-iq2-m,arc_challenge,95.56,1120,1172,0,94.23,96.6
ling-3-0-flash-iq2-m,hellaswag,91.91,4615,5021,0,91.13,92.64
ling-3-0-flash-iq2-m,humaneval,89.02,146,164,,83.32,92.94
ling-3-0-flash-iq2-m,gsm8k,92.27,1217,1319,0,90.7,93.59
ling-3-0-flash-iq2-m,q_avg,90.21,12865,14686,,89.15,91.26
ling-3-0-flash-iq3-xxs,mmlu,83.31,5840,7010,0,82.42,84.16
ling-3-0-flash-iq3-xxs,arc_challenge,96.08,1126,1172,0,94.8,97.04
ling-3-0-flash-iq3-xxs,hellaswag,92.19,4629,5021,0,91.42,92.9
ling-3-0-flash-iq3-xxs,humaneval,93.29,153,164,,88.39,96.21
ling-3-0-flash-iq3-xxs,gsm8k,93.03,1227,1319,0,91.52,94.28
ling-3-0-flash-iq3-xxs,q_avg,91.58,12975,14686,,90.71,92.45
ling-3-0-flash-q3-k-m,mmlu,83.95,5885,7010,0,83.07,84.79
ling-3-0-flash-q3-k-m,arc_challenge,96.33,1129,1172,0,95.09,97.26
ling-3-0-flash-q3-k-m,hellaswag,93.17,4678,5021,0,92.44,93.83
ling-3-0-flash-q3-k-m,humaneval,92.07,151,164,,86.91,95.31
ling-3-0-flash-q3-k-m,gsm8k,93.48,1233,1319,0,92.02,94.69
ling-3-0-flash-q3-k-m,q_avg,91.8,13076,14686,,90.88,92.72
mistral-small-4-119b-2603-mxfp4-moe,mmlu,76.8,629,819,0,73.79,79.56
mistral-small-4-119b-2603-mxfp4-moe,arc_challenge,95.0,38,40,0,83.5,98.62
mistral-small-4-119b-2603-mxfp4-moe,hellaswag,100.0,2,2,0,34.24,100.0
mistral-small-4-119b-2603-mxfp4-moe,humaneval,50.0,20,40,,35.2,64.8
mistral-small-4-119b-2603-mxfp4-moe,gsm8k,85.0,34,40,0,70.93,92.94
mistral-small-4-119b-2603-mxfp4-moe,q_avg,81.36,723,941,,77.28,85.44
muse-glimmer-30b-ud-q4-k-xl,mmlu,80.57,5648,7010,14,79.63,81.48
muse-glimmer-30b-ud-q4-k-xl,arc_challenge,93.52,1096,1172,0,91.96,94.79
muse-glimmer-30b-ud-q4-k-xl,hellaswag,88.83,4460,5021,0,87.93,89.67
muse-glimmer-30b-ud-q4-k-xl,humaneval,95.73,157,164,,91.45,97.92
muse-glimmer-30b-ud-q4-k-xl,gsm8k,96.74,1276,1319,0,95.64,97.57
muse-glimmer-30b-ud-q4-k-xl,q_avg,91.08,12637,14686,,90.33,91.83
nemotron-3-nano-30b-a3b-ud-q4-k-xl,mmlu,74.52,5224,7010,9,73.49,75.53
nemotron-3-nano-30b-a3b-ud-q4-k-xl,arc_challenge,89.93,1054,1172,1,88.08,91.53
nemotron-3-nano-30b-a3b-ud-q4-k-xl,hellaswag,75.62,3797,5021,1,74.42,76.79
